hour,CellID,datetime,internet,calls,sms,population,traffic
23,3200,2013-11-01 23:00:00,29.617673115064612,0.3486458185824665,1.6589230557931351,2.961767311506461,29.617673115064612
24,3200,2013-11-02 00:00:00,20.026291179728275,0.2308339898219287,0.5047531066834917,2.4399222984155227,24.399222984155227
25,3200,2013-11-02 01:00:00,18.61560079197563,0.28661600785996205,0.3340755098555689,1.9924930159041303,19.924930159041303
26,3200,2013-11-02 02:00:00,13.634363455891044,0.2289605720934301,0.24998171949217232,1.6846668834961223,16.84666883496122
27,3200,2013-11-02 03:00:00,12.759686976788876,0.0,0.30722186251552996,1.4404407721445338,14.404407721445338
28,3200,2013-11-02 04:00:00,12.386661174009669,0.0,0.344271443626494,1.3300896732730263,13.300896732730262
29,3200,2013-11-02 05:00:00,17.523345681297734,0.06057168573718029,0.2357502008940076,1.5587636121838135,15.587636121838136
30,3200,2013-11-02 06:00:00,16.941885979931367,0.18843015822139503,0.38444032069547995,1.642062356957492,16.420623569574918
31,3200,2013-11-02 07:00:00,22.575459889128588,0.6883072638670442,1.8591200357720212,1.8685545819058273,18.685545819058273
32,3200,2013-11-02 08:00:00,29.705531760445446,1.911021449035416,2.823620268391926,2.4577114975623715,24.577114975623715
33,3200,2013-11-02 09:00:00,39.392415964586824,3.539833842565413,3.240219278386747,3.2300230358453765,32.30023035845377
34,3200,2013-11-02 10:00:00,44.99318945960829,3.5886041543228138,3.669342310430179,3.9691557720622104,39.6915577206221
35,3200,2013-11-02 11:00:00,46.79635279427928,4.28734534566047,4.596368744455222,4.593208833056104,45.93208833056104
36,3200,2013-11-02 12:00:00,39.29081934952324,2.611581672205619,3.819438774100569,4.281634322040137,42.81634322040137
37,3200,2013-11-02 13:00:00,41.647126960294216,2.0352439064335623,4.587166466589584,4.076568060362424,40.76568060362425
38,3200,2013-11-02 14:00:00,42.786767451867966,2.5129267738837524,12.382657795805514,4.289325087188868,42.89325087188868
39,3200,2013-11-02 15:00:00,48.85980424834243,2.5719566060764576,3.458924279692309,4.556929515377681,45.569295153776814
